Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), Pitch Trim Sum, Elevator Control, elevator normalization, Roll-Trim-Sum, Left Aileron Control, Right Aileron Control, left aileron normalization, right aileron normalization, Rudder Command Sum, Yaw Damper Rate, Yaw Damper Beta, Yaw Damper Sum, Yaw Damper Final, Rudder Sum, Rudder Control, rudder normalization, Flaps Control, flap normalization, Gear Control, Speedbrake Control, vc-kts, alphadot-deg sec, betadot-deg sec, throttle-cmd-norm
0.1666666, 0, 0, 0, 0, 0, 0, 0.573142116, -5.277928709e-11, 0, 0.0000000002265989, 0.0000133347279990, -0.0000000000866133, 0.0000000033941330, 0.0001330979993750, -0.0000000012914202, 210.3790976, 16906455.42, 449.744962517, 1591.13527056, 449.6851601441476873, -0.0000000011593901, -7.3340340804873980, 449.6851601441476873, -0.0000000011593901, -7.3340340804873980, 449.7449630464672623, -0.0000000010697148, -0.0017142099113059, 4500.0001563095, 4500.0001563132, 0.0000000000099598, -0.9341398013561949, 360.0000030593901670, -0.93436917410353, -1.477018406252e-10, 0.00021545395961238, -1.5296483323755e-16, 20930150.0000083297491074, -0.0000000000558781, 78.7053373355614951, 0.00073116268689053, 4500.0001563132, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -2.63192094e-12, -0, -2.63192094e-12, -2.63192094e-12, -2.63192094e-12, -9.21172329e-13, -2.63192094e-12, 0, 0, 1, 0, 249.9665831, -7.459115807e-05, -1.774905449e-09, 0.9077515689
0.18333326, 0, 0, 0, 0, 0, 0, 0.573142116, -6.913430843e-11, 0, 0.0000000002929962, 0.0000157064486329, -0.0000000001118666, 0.0000000039852987, 0.0001422600465384, -0.0000000015157537, 210.3790962, 16906455.36, 449.744961301, 1591.13527024, 449.6851587695493322, -0.0000000014029997, -7.3340437672392342, 449.6851587695493322, -0.0000000014029997, -7.3340437672392342, 449.7449619304947532, -0.0000000013127235, -0.0018867782887755, 4500.0001876615, 4500.0001876615, 0.0000000000142854, -0.9341190403870249, 360.0000030593885754, -0.93437041085007, -1.7873676843861e-10, 0.00023597338423822, -2.0724011434702e-16, 20930150.0000101514160633, -0.0000000000757048, 86.2010837123404912, 0.00080079722849916, 4500.0001876615, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -3.44748942e-12, -0, -3.44748942e-12, -3.44748942e-12, -3.44748942e-12, -1.2066213e-12, -3.44748942e-12, 0, 0, 1, 0, 249.9665822, -7.380256911e-05, -1.949101649e-09, 0.9077515689
0.19999992, 0, 0, 0, 0, 0, 0, 0.573142116, -8.815736819e-11, 0, 0.0000000003696031, 0.0000182194712621, -0.0000000001409952, 0.0000000045976066, 0.0001507393372682, -0.0000000017481736, 210.3790947, 16906455.29, 449.744959882, 1591.13526987, 449.6851571943533941, -0.0000000016692993, -7.3340533396173795, 449.6851571943533941, -0.0000000016692993, -7.3340533396173795, 449.7449606120820818, -0.0000000015816812, -0.0020595540117370, 4500.0002218895, 4500.0002218932, 0.0000000000198090, -0.9340982386764972, 360.0000030593864722, -0.93437163344453, -2.1266231495277e-10, 0.00025649280880849, -2.7319371392042e-16, 20930150.0000121667981148, -0.0000000000997977, 93.6968300688450881, 0.00087043177010778, 4500.0002218932, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -4.39610378e-12, -0, -4.39610378e-12, -4.39610378e-12, -4.39610378e-12, -1.53863632e-12, -4.39610378e-12, 0, 0, 1, 0, 249.9665812, -7.289497613e-05, -2.121769945e-09, 0.9077515689
0.21666658, 0, 0, 0, 0, 0, 0, 0.573142116, -1.09933435e-10, 0, 0.0000000004567059, 0.0000208627409936, -0.0000000001741082, 0.0000000052271340, 0.0001585554431082, -0.0000000019871481, 210.379093, 16906455.22, 449.744958261, 1591.13526944, 449.6851554186652038, -0.0000000019580848, -7.3340627831112739, 449.6851554186652038, -0.0000000019580848, -7.3340627831112739, 449.7449590911014070, -0.0000000018768738, -0.0022325399862790, 4500.0002589971, 4500.0002589971, 0.0000000000267046, -0.9340773939627633, 360.0000030593838005, -0.93437284003834, -2.4945247663671e-10, 0.00027701223331395, -3.5201605010359e-16, 20930150.0000143758952618, -0.0000000001285915, 101.1925764017013734, 0.0009400663117164, 4500.0002589971, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -5.4820011e-12, -0, -5.4820011e-12, -5.4820011e-12, -5.4820011e-12, -1.91870038e-12, -5.4820011e-12, 0, 0, 1, 0, 249.9665801, -7.188443483e-05, -2.292850439e-09, 0.9077515689
0.23333324, 0, 0, 0, 0, 0, 0, 0.573142116, -1.345307439e-10, 0, 0.0000000005545344, 0.0000236255561305, -0.0000000002112923, 0.0000000058704814, 0.0001657295382711, -0.0000000022313338, 210.379091, 16906455.13, 449.744956436, 1591.13526895, 449.6851534425493924, -0.0000000022691465, -7.3340720852454000, 449.6851534425493924, -0.0000000022691465, -7.3340720852454000, 449.7449573674175554, -0.0000000021985926, -0.0024057397725601, 4500.0002989918, 4500.0002989918, 0.0000000000351501, -0.9340565041653580, 360.0000030593806741, -0.93437402904224, -2.8908055083912e-10, 0.00029753165774535, -4.4491070614539e-16, 20930150.0000167861580849, -0.0000000001625259, 108.6883227075332030, 0.001009700853325, 4500.0002989918, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -6.70858402e-12, -0, -6.70858402e-12, -6.70858402e-12, -6.70858402e-12, -2.34800441e-12, -6.70858402e-12, 0, 0, 1, 0, 249.9665789, -7.078600782e-05, -2.462318526e-09, 0.9077515689
0.2499999, 0, 0, 0, 0, 0, 0, 0.573142116, -1.620028918e-10, 0, 0.0000000006632698, 0.0000264975904091, -0.0000000002526146, 0.0000000065247201, 0.0001722841328411, -0.0000000024795588, 210.3790888, 16906455.04, 449.744954409, 1591.13526841, 449.6851512660315393, -0.0000000026022738, -7.3340812354503404, 449.6851512660315393, -0.0000000026022738, -7.3340812354503404, 449.7449554408874519, -0.0000000025471369, -0.0025791575011942, 4500.0003418736, 4500.0003418736, 0.0000000000453271, -0.9340355673791140, 360.0000030593768088, -0.93437519910986, -3.3151968460091e-10, 0.00031805108209344, -5.5309473487662e-16, 20930150.0000194013118744, -0.0000000002020455, 116.1840689829621311, 0.0010793353949336, 4500.0003418736, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -8.07852524e-12, -0, -8.07852524e-12, -8.07852524e-12, -8.07852524e-12, -2.82748384e-12, -8.07852524e-12, 0, 0, 1, 0, 249.9665775, -6.961378037e-05, -2.630180213e-09, 0.9077515689
0.26666656, 0, 0, 0, 0, 0, 0, 0.573142116, -1.923907485e-10, 0, 0.0000000007830512, 0.0000294689112229, -0.0000000002981254, 0.0000000071873448, 0.0001782428320806, -0.0000000027308075, 210.3790865, 16906454.94, 449.744952179, 1591.13526781, 449.6851488891002191, -0.0000000029572583, -7.3340902249362925, 449.6851488891002191, -0.0000000029572583, -7.3340902249362925, 449.7449533113600637, -0.0000000029228150, -0.0027527977945700, 4500.0003876463, 4500.0003876425, 0.0000000000574199, -0.9340145818677404, 360.0000030593722045, -0.93437634912158, -3.7674334862812e-10, 0.00033857050634896, -6.7779904020128e-16, 20930150.0000222250819206, -0.0000000002476000, 123.6798152246072675, 0.0011489699365423, 4500.0003876425, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -9.59386281e-12, -0, -9.59386281e-12, -9.59386281e-12, -9.59386281e-12, -3.35785198e-12, -9.59386281e-12, 0, 0, 1, 0, 249.966576, -6.838088142e-05, -2.796467818e-09, 0.9077515689
0.28333322, 0, 0, 0, 0, 0, 0, 0.573142116, -2.257241945e-10, 0, 0.0000000009139828, 0.0000325299940220, -0.0000000003478603, 0.0000000078562293, 0.0001836301058976, -0.0000000029842063, 210.3790839, 16906454.83, 449.744949746, 1591.13526715, 449.6851463117089338, -0.0000000033338975, -7.3340990465693112, 449.6851463117089338, -0.0000000033338975, -7.3340990465693112, 449.7449509786760586, -0.0000000033259454, -0.0029266656932636, 4500.0004363172, 4500.0004363209, 0.0000000000716146, -0.9339935460571313, 360.0000030593668043, -0.9343774781688, -4.2472574259189e-10, 0.00035908993050264, -8.2026882435729e-16, 20930150.0000252611935139, -0.0000000002996442, 131.1755614290851213, 0.0012186044781509, 4500.0004363209, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.12560867e-11, -0, -1.12560867e-11, -1.12560867e-11, -1.12560867e-11, -3.93963036e-12, -1.12560867e-11, 0, 0, 1, 0, 249.9665744, -6.709950463e-05, -2.961236028e-09, 0.9077515689
0.29999988, 0, 0, 0, 0, 0, 0, 0.573142116, -2.620236971e-10, 0, 0.0000000010561387, 0.0000356717331518, -0.0000000004018427, 0.0000000085295868, 0.0001884710749951, -0.0000000032390104, 210.3790811, 16906454.71, 449.74494711, 1591.13526643, 449.6851435337780458, -0.0000000037319973, -7.3341076947506103, 449.6851435337780458, -0.0000000037319973, -7.3341076947506103, 449.7449484426683171, -0.0000000037568584, -0.0031007665871234, 4500.0004878938, 4500.0004878938, 0.0000000000880989, -0.9339724585284621, 360.0000030593606084, -0.93437858553849, -4.7544213757099e-10, 0.00037960935454521, -9.8176409051079e-16, 20930150.0000285133719444, -0.0000000003586384, 138.6713075930095442, 0.0012882390197595, 4500.0004878938, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.30662177e-11, -0, -1.30662177e-11, -1.30662177e-11, -1.30662177e-11, -4.57317619e-12, -1.30662177e-11, 0, 0, 1, 0, 249.9665727, -6.578093382e-05, -3.124558293e-09, 0.9077515689
0.31666654, 0, 0, 0, 0, 0, 0, 0.573142116, -3.013017374e-10, 0, 0.0000000012095684, 0.0000388854495993, -0.0000000004600853, 0.0000000092059327, 0.0001927913244192, -0.0000000034945909, 210.3790781, 16906454.58, 449.74494427, 1591.13526565, 449.6851405551967105, -0.0000000041513743, -7.3341161652994762, 449.6851405551967105, -0.0000000041513743, -7.3341161652994762, 449.7449457031618749, -0.0000000042158968, -0.0032751061511540, 4500.000542365, 4500.000542365, 0.0000000001070616, -0.9339513180111347, 360.0000030593534461, -0.93437967069837, -5.2886916108766e-10, 0.00040012877846737, -1.1635601910235e-15, 20930150.0000319816172123, -0.0000000004250486, 146.1670537129914749, 0.0013578735613681, 4500.000542365, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.5024878e-11, -0, -1.5024878e-11, -1.5024878e-11, -1.5024878e-11, -5.25870731e-12, -1.5024878e-11, 0, 0, 1, 0, 249.9665708, -6.443557112e-05, -3.286523546e-09, 0.9077515689
